,height,weight,bias
0,73.847017017515,219.1614799259201,1
1,68.78190404589029,180.07254619087252,1
2,74.11010539178491,221.19180858510487,1
3,71.7309784033377,202.83140128132737,1
4,69.8817958611153,188.56072770269776,1
5,67.2530156878065,168.27367496090795,1
6,68.78508125166161,180.09706560170372,1
7,68.34851551158789,176.72796221144705,1
8,67.01894966288299,166.46732011964042,1
9,63.456493978366396,138.97482489471253,1
10,71.1953822829745,198.69805196120154,1
11,71.64080511922059,202.13550811028227,1
12,64.7663291334055,149.08319954814823,1
13,69.2830700967204,183.94018876091963,1
14,69.2437322298112,183.63660712680684,1
15,67.6456197004212,171.30351305517792,1
16,72.4183166259878,208.13578805201706,1
17,63.974325721061,142.97108140261048,1
18,69.64005989975229,186.6951817557403,1
19,67.93600485400951,173.54449881202953,1
20,67.9150501938206,173.38278567193703,1
21,69.4394398680395,185.14693926451133,1
22,66.14913196087811,159.75468671823103,1
23,75.20597361422121,229.6489388740303,1
24,67.8931963386043,173.214133185173,1
25,68.1440327982008,175.1499102946728,1
26,69.0896314289256,182.44736692069893,1
27,72.80084351650031,211.0878580964333,1
28,67.4212422817167,169.57192797494082,1
29,68.49641535688272,177.86934785961336,1
30,68.6181105502058,178.80850467098725,1
31,74.03380762166779,220.60299674676133,1
32,71.5282160355709,201.2666257665465,1
33,69.1801610995692,183.14601042908015,1
34,69.577202365402,186.21009208276922,1
35,70.4009288884762,192.56702659866818,1
36,69.0761711675356,182.34349021183226,1
37,67.1935232827228,167.8145549584355,1
38,65.8073156549306,157.11679196492707,1
39,64.3041878915595,145.51672265415766,1
40,67.9743362271967,173.84031304458102,1
41,72.18942595921341,206.36937293823036,1
42,65.2703455240394,152.97283901033512,1
43,66.09017737627249,159.29971723108707,1
44,67.5103215157138,170.25937804651625,1
45,70.1047862551571,190.28160871464814,1
46,68.25183644086721,175.98186201385278,1
47,72.1727091157973,206.2403642491425,1
48,69.1798576188774,183.14366838128814,1
49,72.870360147235,211.62433793163046,1
50,64.7825829779871,149.20863514205286,1
51,70.18354988748371,190.88945032094483,1
52,68.4914502529394,177.83103072431646,1
53,67.33083088101621,168.87419718972973,1
54,66.9909440825232,166.25119300045714,1
55,66.4995499002499,162.45896275085073,1
56,68.3530566463988,176.76300745499833,1
57,70.77445907039741,195.44966645506514,1
58,71.2159236694709,198.85657574933447,1
59,70.0133653490674,189.57608728597364,1
60,71.40318222075891,200.3017038528189,1
61,69.5520050948319,186.01563749801727,1
62,73.81853455776991,218.94167259135048,1
63,66.99688275225,166.29702342294246,1
64,71.41846589309071,200.4196523484108,1
65,65.27930020900429,153.0419448899417,1
66,68.2741914742284,176.15438223652023,1
67,72.7653699463424,210.81409835187952,1
68,68.0993798003468,174.80531026621048,1
69,68.8967060721692,180.95850644941055,1
70,69.2895099633052,183.98988706372285,1
71,70.52322452345649,193.51081719102223,1
72,69.6637252265179,186.87781388950344,1
73,67.5952688079157,170.9149407347433,1
74,72.5081203801037,208.82882945375098,1
75,71.2529856038086,199.14259335714206,1
76,71.8091868893668,203.4349586639634,1
77,72.24516547925191,206.79953084732625,1
78,66.51262766093471,162.55988759175267,1
79,66.0290340048182,158.82785624624756,1
80,67.57715394273501,170.77514310957002,1
81,68.2465686016242,175.94120858316916,1
82,73.8261270026308,219.00026567223864,1
83,69.8024643604904,187.94850369340128,1
84,65.9595777848988,158.29184261868863,1
85,71.0790175757451,197.80003204427766,1
86,66.5961965372077,163.2048126477676,1
87,68.9515350928246,181.3816377728703,1
88,68.2444617923064,175.92494972965932,1
89,72.3168251228452,207.35254892917106,1
90,71.81542044953079,203.48306484077506,1
91,65.2370495188386,152.71588416091186,1
92,70.6405300907292,194.41609799553004,1
93,64.731925597255,148.817697563815,1
94,67.1035511824075,167.12021438065773,1
95,65.1174848880457,151.7931695134199,1
96,71.7012340230177,202.6018553427013,1
97,66.8328782059274,165.03135316457616,1
98,66.4712752615182,162.24075923081926,1
99,69.41152622060389,184.93152161814754,1
100,70.0521774745245,189.87561162207595,1
101,66.7436046519631,164.34240346991936,1
